GSM,Description,Organism,Tissue/Cell,GSE,State ID,Characteristics,Age,GPL,,,,,
GSM1696283,Transgenic_Control_L4_A,Caenorhabditis elegans,whole worm,GSE69263,1,strain: SD1965; tissue: whole worm,L4,GPL,,,,,
GSM1696284,Transgenic_Control_L4_B,Caenorhabditis elegans,whole worm,GSE69263,1,strain: SD1965; tissue: whole worm,L4,GPL13657,,,,,
GSM1696285,Transgenic_Control_L4_C,Caenorhabditis elegans,whole worm,GSE69263,1,strain: SD1965; tissue: whole worm,L4,GPL13657,,,,,
GSM1696286,Transgenic_Control_L4_D,Caenorhabditis elegans,whole worm,GSE69263,1,strain: SD1965; tissue: whole worm,L4,GPL13657,,,,,
GSM1696287,Transgenic_Control_L4_E,Caenorhabditis elegans,whole worm,GSE69263,1,strain: SD1965; tissue: whole worm,L4,GPL13657,,,,,
GSM1696288,elt-2_OE_L4_A,Caenorhabditis elegans,whole worm,GSE69263,2,strain: SD1963; tissue: whole worm,L4,GPL13657,,,,,
GSM1696289,elt-2_OE_L4_B,Caenorhabditis elegans,whole worm,GSE69263,2,strain: SD1963; tissue: whole worm,L4,GPL13657,,,,,
GSM1696290,elt-2_OE_L4_C,Caenorhabditis elegans,whole worm,GSE69263,2,strain: SD1963; tissue: whole worm,L4,GPL13657,,,,,
GSM1696291,elt-2_OE_L4_D,Caenorhabditis elegans,whole worm,GSE69263,2,strain: SD1963; tissue: whole worm,L4,GPL13657,,,,,
GSM1696292,elt-2_OE_L4_E,Caenorhabditis elegans,whole worm,GSE69263,2,strain: SD1963; tissue: whole worm,L4,GPL13657,,,,,
GSM1696293,Transgenic_Control_Day13_A,Caenorhabditis elegans,whole worm,GSE69263,3,strain: SD1965; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696294,Transgenic_Control_Day13_B,Caenorhabditis elegans,whole worm,GSE69263,3,strain: SD1965; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696295,Transgenic_Control_Day13_C,Caenorhabditis elegans,whole worm,GSE69263,3,strain: SD1965; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696296,Transgenic_Control_Day13_D,Caenorhabditis elegans,whole worm,GSE69263,3,strain: SD1965; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696297,Transgenic_Control_Day13_E,Caenorhabditis elegans,whole worm,GSE69263,3,strain: SD1965; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696298,elt-2_OE_Day13_A,Caenorhabditis elegans,whole worm,GSE69263,4,strain: SD1963; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696299,elt-2_OE_Day13_B,Caenorhabditis elegans,whole worm,GSE69263,4,strain: SD1963; tissue: whole worm,13 DAYS,GPL13657,,,,,
GSM1696300,elt-2_OE_Day13_C,Caenorhabditis elegans,whole worm,GSE69263,4,strain: SD1963; tissue: whole worm,13 DAYS,GPL13657,,,,,
